births,dayofyear,wday,month,date
13149,216,Tues,Aug,2015-08-04
12793,217,Wed,Aug,2015-08-05
12872,218,Thurs,Aug,2015-08-06
12770,219,Fri,Aug,2015-08-07
8956,220,Sat,Aug,2015-08-08
7726,221,Sun,Aug,2015-08-09
12333,222,Mon,Aug,2015-08-10
13010,223,Tues,Aug,2015-08-11
12960,224,Wed,Aug,2015-08-12
12591,225,Thurs,Aug,2015-08-13
12861,226,Fri,Aug,2015-08-14
8938,227,Sat,Aug,2015-08-15
7896,228,Sun,Aug,2015-08-16
12337,229,Mon,Aug,2015-08-17
13197,230,Tues,Aug,2015-08-18
12966,231,Wed,Aug,2015-08-19
13002,232,Thurs,Aug,2015-08-20
12834,233,Fri,Aug,2015-08-21
9153,234,Sat,Aug,2015-08-22
7821,235,Sun,Aug,2015-08-23
12274,236,Mon,Aug,2015-08-24
13149,237,Tues,Aug,2015-08-25
12729,238,Wed,Aug,2015-08-26
12829,239,Thurs,Aug,2015-08-27
12719,240,Fri,Aug,2015-08-28
8772,241,Sat,Aug,2015-08-29
7805,242,Sun,Aug,2015-08-30
12142,243,Mon,Aug,2015-08-31
13231,244,Tues,Sep,2015-09-01
12799,245,Wed,Sep,2015-09-02
12839,246,Thurs,Sep,2015-09-03
12862,247,Fri,Sep,2015-09-04
8950,248,Sat,Sep,2015-09-05
7778,249,Sun,Sep,2015-09-06
8127,250,Mon,Sep,2015-09-07
12823,251,Tues,Sep,2015-09-08
13949,252,Wed,Sep,2015-09-09
13925,253,Thurs,Sep,2015-09-10
12295,254,Fri,Sep,2015-09-11
9062,255,Sat,Sep,2015-09-12
7900,256,Sun,Sep,2015-09-13
12699,257,Mon,Sep,2015-09-14
13439,258,Tues,Sep,2015-09-15
13136,259,Wed,Sep,2015-09-16
13319,260,Thurs,Sep,2015-09-17
13229,261,Fri,Sep,2015-09-18
9195,262,Sat,Sep,2015-09-19
8078,263,Sun,Sep,2015-09-20
12567,264,Mon,Sep,2015-09-21
13047,265,Tues,Sep,2015-09-22
12595,266,Wed,Sep,2015-09-23
12942,267,Thurs,Sep,2015-09-24
12792,268,Fri,Sep,2015-09-25
8927,269,Sat,Sep,2015-09-26
7778,270,Sun,Sep,2015-09-27
12158,271,Mon,Sep,2015-09-28
12791,272,Tues,Sep,2015-09-29
12284,273,Wed,Sep,2015-09-30
13043,274,Thurs,Oct,2015-10-01
12399,275,Fri,Oct,2015-10-02
8579,276,Sat,Oct,2015-10-03
7530,277,Sun,Oct,2015-10-04
12166,278,Mon,Oct,2015-10-05
12520,279,Tues,Oct,2015-10-06
12429,280,Wed,Oct,2015-10-07
12458,281,Thurs,Oct,2015-10-08
12282,282,Fri,Oct,2015-10-09
8550,283,Sat,Oct,2015-10-10
7571,284,Sun,Oct,2015-10-11
11633,285,Mon,Oct,2015-10-12
12094,286,Tues,Oct,2015-10-13
12205,287,Wed,Oct,2015-10-14
12522,288,Thurs,Oct,2015-10-15
11917,289,Fri,Oct,2015-10-16
8233,290,Sat,Oct,2015-10-17
7211,291,Sun,Oct,2015-10-18
11388,292,Mon,Oct,2015-10-19
12500,293,Tues,Oct,2015-10-20
12093,294,Wed,Oct,2015-10-21
12013,295,Thurs,Oct,2015-10-22
11942,296,Fri,Oct,2015-10-23
8239,297,Sat,Oct,2015-10-24
7288,298,Sun,Oct,2015-10-25
11923,299,Mon,Oct,2015-10-26
12485,300,Tues,Oct,2015-10-27
12266,301,Wed,Oct,2015-10-28
11950,302,Thurs,Oct,2015-10-29
11529,303,Fri,Oct,2015-10-30
8049,304,Sat,Oct,2015-10-31
7731,305,Sun,Nov,2015-11-01
12236,306,Mon,Nov,2015-11-02
12524,307,Tues,Nov,2015-11-03
12279,308,Wed,Nov,2015-11-04
12452,309,Thurs,Nov,2015-11-05
11909,310,Fri,Nov,2015-11-06
8517,311,Sat,Nov,2015-11-07
7324,312,Sun,Nov,2015-11-08
11688,313,Mon,Nov,2015-11-09
12451,314,Tues,Nov,2015-11-10
12311,315,Wed,Nov,2015-11-11
12329,316,Thurs,Nov,2015-11-12
11643,317,Fri,Nov,2015-11-13
8221,318,Sat,Nov,2015-11-14
7378,319,Sun,Nov,2015-11-15
11791,320,Mon,Nov,2015-11-16
12321,321,Tues,Nov,2015-11-17
12230,322,Wed,Nov,2015-11-18
12504,323,Thurs,Nov,2015-11-19
12495,324,Fri,Nov,2015-11-20
8392,325,Sat,Nov,2015-11-21
7427,326,Sun,Nov,2015-11-22
12419,327,Mon,Nov,2015-11-23
13051,328,Tues,Nov,2015-11-24
11745,329,Wed,Nov,2015-11-25
7332,330,Thurs,Nov,2015-11-26
8942,331,Fri,Nov,2015-11-27
7734,332,Sat,Nov,2015-11-28
7230,333,Sun,Nov,2015-11-29
12214,334,Mon,Nov,2015-11-30
13185,335,Tues,Dec,2015-12-01
12708,336,Wed,Dec,2015-12-02
12281,337,Thurs,Dec,2015-12-03
11828,338,Fri,Dec,2015-12-04
8262,339,Sat,Dec,2015-12-05
7194,340,Sun,Dec,2015-12-06
11567,341,Mon,Dec,2015-12-07
12328,342,Tues,Dec,2015-12-08
11857,343,Wed,Dec,2015-12-09
12259,344,Thurs,Dec,2015-12-10
11406,345,Fri,Dec,2015-12-11
8073,346,Sat,Dec,2015-12-12
7262,347,Sun,Dec,2015-12-13
11753,348,Mon,Dec,2015-12-14
12437,349,Tues,Dec,2015-12-15
12282,350,Wed,Dec,2015-12-16
12339,351,Thurs,Dec,2015-12-17
12247,352,Fri,Dec,2015-12-18
8368,353,Sat,Dec,2015-12-19
7361,354,Sun,Dec,2015-12-20
12692,355,Mon,Dec,2015-12-21
13131,356,Tues,Dec,2015-12-22
11595,357,Wed,Dec,2015-12-23
8714,358,Thurs,Dec,2015-12-24
6515,359,Fri,Dec,2015-12-25
7294,360,Sat,Dec,2015-12-26
7518,361,Sun,Dec,2015-12-27
13100,362,Mon,Dec,2015-12-28
13458,363,Tues,Dec,2015-12-29
13100,364,Wed,Dec,2015-12-30
11608,365,Thurs,Dec,2015-12-31
